,ADDITIONAL DESCRIPTION
82,"TERRITORIAL AREA
Phulpur, Handia, Soraon, Karchana, Meja, Koraon, Bara
Tehsils of Allahabad District and in the following Municipal
Wards / localities / mohallas of Allahabad City:-Malakraj,
Bairahna. Old Lashkar Lines (as comprised in Ward No. 2):
Govindpur, PuraGaderia,SaraiLaj, Bhulaikapura (as comprised in Ward No.3); Krishna Nagar, Talab Naval Rai (as comprised in Ward-No.S); Mumfordgarij, NayaPurwa, Stanley Road,RaiBahadur Ram Charan Das Road( as comprised in Ward No.9); Jahagirabad, Mahewa Patti. PurabUparhar. Indalpur, ChakLalMohammad.ChakAtaullah, Glass Factory,
Jahangirahad. Kharkauni, Bhatta, Chandpur ( as comprisied in Ward No. 10): Tagore Town, MotiLaI Nehru Road, Amar NathJhaMarg, Madan Mohan MalviyaMarg, Tagore Town, JawaharLal Nehru Road, FatehpurBichuwa, Hashimpur. Hashimpur Road, C.Y, Chintamani Road, Mahatma Gandhi Marg, Liddle Road, MotiLal Nehru Road, (as comprised in Ward No.11); Railway Kshetra¬NawabYousuf Road, Railway Colony, Balaipur
Colony, Loco Colony East, Loco Colony West, Loco Yard,
Coaching Yard, Hastings Road,Sarojini Naidu Marg., Napier
Road, Drumond Road, Auckland Road, M.G.Marg,
P.D.Tandon Road, Elgin Road, Edmonston Road, Thomhil Road, Muir Road, Clive Road, Colvin Road, Railway Colony North, Traffic Colony West, Traffic Colony East (as comprised in Ward.No.I3); BaghambhariGaddi, BuxiKhurd (as comprised in Ward No.I4); Civil KshetraPratham- NawabYousuf Road, Mahatma Gandhi Marg,
LalBahadurShastriMarg, TashkantMarg, Clive Road, Mehta
ChikitsalayaMarg, Stratchy Road, Sardar Patel Marg, Smith
Road, Cooper Road, Loyal Road, Kamla Nehru Road,Kasturba Gandhi Marg(as comprised in Ward No.I6); Civil Kshetra-Il, Clive Road, Stratchey Road, Cooper Road, Kasturba Gandhi Marg, Kamla Nehru Road, P.D. TandonMarg, TejBahadurSapru Road, TashkantMarg, Maharishi DayanandMarg, Whole area of Muir Road, Layal Road (as comprised in Ward No.17); Rajapur, Thornhill Road, P.D. Tandon Road, Minto Road, Muir Road, Stanley Road, South part of N.K.Mukherjee Road, Circular Road,
Newada including Ashok Nagar, N K. Mukherjee Road,
Hastings Road, Drumond Road, Stratchcy Road, Clive Road(as comprised in Ward No.I8); Katghar- Katghar, Baluaghat (as comprised in Ward No.20); Allenganj, Ram Priya Road, ChotaBaghada, Dharhariya, Allenganj, Karanpur including Road going towards Prayag Station, Church Lane, MotiLal Nehru Road, Sir P.C.Banerjee Road, Bund Road, Ram NarainLal Road, Master Dwarika Prasad Road, Master ZahrulHasan Road, Ganga NathJhaMarg North Part (as comprised in Ward No.21); Phaphamau Bazar-Village Phaphamau, Shivkuti,Chilla (as comprised in Ward No.22); PuraPadain, Daraganj, PuraDalel ((as
comprised in Ward N0.23); Naini-DubeyKaTalab, Naini
Railway Colony, Cheoki, NainiTaluka, NainiDadri, NaiBazar,ChakDaud Nagar, Kazipur, Uparhar, Daud Nagar
(as comprised in Ward No.25); Muirabad, Rajapur, Beligaon, Stanley Road (as comprised in Ward No.27); Salory, KailashPuri, ChandpurSalory, Om Gayatri Nagar, Sadiyabad, Shuturkhana «as comprised in Ward NO.28); Madhwaapur,TularamBagh, Sohbatiabagh, New Lashkar Lines (as comprised in Ward No.29); ChakBhatai, PuraFateh Mohammed, Lokpur «as comprised in Ward No.32); ChakDondi, ChakFaizullah, Jail Area (as comprised
inWard No.33); Teliarganj, Mehdauri, Shilakhana,
Jondhwal (as comprised in Ward No.34); ChakRaghunath,
Bongwa, ChakDondi (as comprised in Ward No.35);
Shararabagh, Kothaparcha, Croswait Road, ChaurchandMitra Road, Shahrarabagh, Idgah, GosaiTola,LakhpatRai Lane, K.P. Kakkar Road, Shiv CharanLal Road( as comprised in Ward No.36); Mohatsimganj, BadshashiMandi (as comprised in Ward No.37); Darbhanga Castle, Baba JI KaBagh, PannaLal Road, Colonelganj,
Lowther Road, C. Y. Chintamani Road, Maharishi
DayanandMarg, AmarnathJhaMarg, MotiLal Nehru Road,
Kamla Nehru Road, Eastern Part of M.G. Marg to Allahabad
University Road (as comprised in Ward No.38); Rambagh-
Lowther Road, Ram Bagh complete area, SevaSamiti Road,
Bai-ka-bagh, G.T.Road, Both side of Eastern area of
Lowther Road, TriveniIi Road(as comprised in Ward No.39);
Mutthiganj, MahbiranGali seas comprised in Ward No.40);
Azad Square(South Malaka), North Malaka, Swarup Rani
Hospital, ManovigyanShaIa, Malaka Colony, BadlepurKayasthPathshala, Hewet Road, Lowther Road,
M.G.Road, K.P.College, Niranjan Cinema, Easter part of
M.G. Margfrom Railway Over Bridge(as comprised in Ward
No.4l); Daraganj-Daraganj, Mori, MeeraGali, BuxiKalan,
BuxiKhurd (as comprised in Ward N0.43), Bakhtiari,
Kasturba Gandhi Marg, Muir Road, Master ZahrulHasan
Road, University Road, Katra, Southern Part of ChintamaniGhosh Road, Mission Compound(as comprised in Ward No.45); NaiBasti-NaiBasti, Mutthiganj (as comprised in Ward No.46), AlopiBagh, Matiara(as comprised in Ward No.47); Bahadurganj-Bahadurganj,
Mutthiganj including Hatia(as comprisedin Ward No.51);
PuraDhaku-NaiBasti, PuraDhaku(as comprised in Ward
No.52); BadshahiMandi, JauhariTola, Chak, KuchaShyam
Das, Chahchand, Pandariba, BadshahiMandi, Johnstonganj(as comprised in Ward No.56); Chaukhandi, Purawaldi (as comprised in Ward No.57); Khalasi Line¬Khalasi Line, Triveni Road, Centre part of ShankerLalBhargava Road (as comprised in Ward No.58);New Katra, Muir Road, Stanley Road, LajpatRai Road, Master ZahrulHasan Road, Kasturba Gandhi Marg, Beli Road, A-Beli Road, B-Be1i Road, C-Be1i Road, Beli Revenue, Batuk Chand Banerjee Road, New Katra Extension, Mission Road ( as comprised in Ward No.60); Katra¬ Master ZahrulHasan Road, Both side of Luxmi Talkies, Ganga NathJhaMarg, Southern Part of ZahrulHasan Road to University Road, Katra, Northern Part of Chin tam aniGhosh Road, University Road, Mission Road, Fakireganj (as comprised in Ward No.61); Bharadwajpuram, PuraDalel, Allahpur, Dandia, Sohbatiabagh (as comprised in Ward No.62); PuraDalel,BaghambariGaddi as comprised in Ward No.65),Meerganj,Tripolia,MahajaniTola(as comprised in Ward No.70).Chowk.

1. (Individual) 
- (Salaried)
- returned income/loss below Rs. 10 lakh
- In the area mentioned above
- first name starting with alphabets 'L' to 'O'

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss below Rs. 10 lakh
-  having principal place of business is within the territorial area mentioned above
- first name starting with alphabets 'L' to 'O'

3.(Salaried)
- Income from government salary residing within Allahabad District
- total income below Rs. 10 lakh
- first name starting with alphabets 'L' to 'O'"
83,"TERRITORIAL AREA
Areas of Chowk Municipal Ward situated at Eastern side (Left
side) of Maidagin-Godaulia Road including Brahmpuri (K-36)
Gwal Das Sahu Lane (K-37) Brahmpuri, (K-38 (Gopal Mandir and Golghar) of Kotwali Municipal Ward. District of
Bhadohi (Sant Ravi Das Nagar)

1. (Individual) 
- (Salaried)
- returned income/loss below Rs. 10 lakh
- In the area mentioned above

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss below Rs. 10 lakh
-  having principal place of business is within the territorial area mentioned above

3. Company (including its MD or director or managing agents & representative assessee) 
- returned income/loss below Rs. 15 lakh
- having principal place of business or profession is within the territorial area mentioned above

4.(Salaried)
- total income below Rs. 10 lakh
- residing within the territorial area mentioned above
- all Central and State Government Employees (except Railways,
DLW and all State and Central Government teachers)"
90,"1. (Individual) 
- (Salaried)
- returned income/loss of Rs. 10 lakh & above
- In the area of District of Gorakhpur and District of Maharajganj

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss of Rs. 10 lakh & above
-  having principal place of business is within the territorial area of District of Gorakhpur and District of Maharajganj

3. Company (including its MD or director or managing agents & representative assessee) 
- returned income/loss of Rs. 15 lakh & above
- having principal place of business or profession is within the territorial area of District of Gorakhpur and District of Maharajganj

4.(Salaried)
- total income of Rs. 10 lakh & above
- within the territorial area of District of Gorakhpur and District of Maharajganj
- Salary & pension cases"
91,"TERRITORIAL AREA
(1)Left hand side of Jhungia to Dharmshala Chowk to Kali Mandir To Golghar to Ganesh Chowk to Katchery Chouraha road consists of following localities: (i). Jhungia, Noutan, Gulharia, Mudila,
Medical College , Jungle chhatradhari, Part of Salempur urf Mugulpur. Part of Chargaon, Shaktinagar, Part of Harsevakpur no. 1,Part of Basharatpur, ward no. 31, Shahpur, Dharmpur, Ward
no. 59, Goshipurwa, Part of ward no. 49, Bheriyagarh, Assuran, Dharmshala chowk, Mohaddipur, Ward 48 Girdharganj including Kooraghat, Girdharganj Bazar, Vishunpurwa, Purani Chungi, Mahadev Zharkhandi Mela Sthan Mahadev Zharkhandi Turkna no. 1 including Mahadev Zharkhandi no. 1 new area, Khorabar urf Suba Bazar.Ward no. 18 Madan Mohan Engineering College including Mahadev Zharkhandi no. 2, Ashoka Gas Godown Road, Khotta Ward no. 52. (ii)Semra, Harsevakpur, Jungle Salikram, Ward no 15, Jungle Dhusad, Jungle Shivpur, Shivpur Shahbajganj, ward no.
11, Jungle Mataddin, Jungle Tinkonia, Jungle Hakim, Jungle  Tulsiram, Paschimi ward no. 3, Jungle Tulsiram Purvi ward no. 22, Railway colony Bichhia ward no. 26, Jharna Tola ward no. 20, Mahadev Jharkhandi no. 3 New area, Dargahia ward no. 8, Military hospital and Playground (iii)Bilandpur,Daudpur, Rasoolpur Near
Bealandpur, (iv)Betiahata ward no. 33, Betia hata Avas Vikas colony, Hanuman Mandir Road, Golghar, Indira Bal Vihar, City Mall, Bhalotia Market, Zila Parishad Road, Gandhigali, Baldev Plaza left hand side from Ganesh Chowraha to Vijay 
Chowraha

1. (Individual) 
- (Salaried)
- returned income/loss below Rs. 10 lakh
- In the area mentioned above

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss below Rs. 10 lakh
-  having principal place of business is within the territorial area mentioned above

3. Company (including its MD or director or managing agents & representative assessee) 
- returned income/loss below Rs. 15 lakh
- having principal place of business or profession is within the territorial area mentioned above"
99,"TERRITORIAL AREA
Revenue Districts of Allahabad, Kaushambi, Fatehpur, Mirzapur,
Sonebhadra in the State of U.P. 

- All cases of persons within the territorial jurisdiction mentioned above
- having income up to Rs.5 crore 
- claiming exemption under clauses (21), (22), (22A), (22B), (23),
(23A), (23AAA), (23B), (23C), (23F), (23FA), (24), (46) and (47) of section 10, section 11 and section 12 of the Income Tax Act, 1961"
100,"TERRITORIAL AREA
Revenue Districts of Varanasi, Bhadohi(Sant Ravi Das Nagar), Ballia, Ghazipur, Chandauli, Gorakhpur, Deoria, Mau, Azamgarh, Maharajganj and Kushinagar(Padrauna) in the State of U.P.

- All cases of persons within the territorial jurisdiction mentioned above
- having income up to Rs.5 crore 
- claiming exemption under clauses (21), (22), (22A), (22B), (23),
(23A), (23AAA), (23B), (23C), (23F), (23FA), (24), (46) and (47) of section 10, section 11 and section 12 of the Income Tax Act, 1961"
104,"1. (Individual) 
- (Salaried)
- returned income/loss below Rs. 10 lakh
- In the area of District of Maharajganj
- First name begin with the alphabet ‘A’ to ‘Z'

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss below Rs. 10 lakh
-  having principal place of business is within the territorial area of District of Maharajganj
- First name begin with the alphabet ‘A’ to ‘Z'

3. Company (including its MD or director or managing agents & representative assessee) 
- returned income/loss below Rs. 15 lakh
- having principal place of business or profession is within the territorial area of District of Maharajganj
- First name begin with the alphabet ‘A’ to ‘Z'"
113,"In  the  State  of Punjab - In the Revenue District of Mansa
- The entire Tehsil of Mansa

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above"
114,"1) Areas of hall gate and Town hall surrounding areas of Town hall inner Curcular Road, Hall Gate to Sultanwind gate, Ravi dass road, Chowk Ram Bagh, Jail gali kt. Baggian, Gali Kaleeran, Kucha Badroan, Kucha Kharassian, Kucha Bhatrian, Chowk Bijliwala, Gali Dabkaran, Bz Tahli sahib, Katra Kanhaya, Mahan Singh Gate and its abadie, Katra Jaimal singh, Karmo Derori Bz, Santosh Sar,  chowk Phawara to golder temple, Bz. Bikanerian and other adjoining localities, Sarai guru ram dass, Braham Butt Market, chowk Parag Dass, Chowk Baba Bhauri wala, Tirth singh Bhatia road, Bz. Lakhar Mandi upto Jallianwala bagh, Bz. Petian, Bagh rama Nand, Bhushanpur, Bz. ghee Mandi, area of inner circular road from Hall Gate to Loh Garh Gate, Bz. Hall gate to telephone Exchange Bz. Mori Ganj to Karta Sher Singh, golder mohalla, Regent talkies, DAV college Road, Bz. Kucha Dal Khanna, Bazar Mochian and surrounding abadies and Bazar to these arreas, Bazar Lohgarh Gate, Bz Arya Samaj, Khu Bombay wala, Katra Moti Ram, Katra Bhag Singh, Chwok Passian, Bz. Toba Bhai Salo, Guru Ka Mahal, Kucha Tiwarian, Gali Vikram, Katra  Parja, Shastri  Market,Gokal Market, Partap Bazar and it abadies, Bz. Sabunian, Bz.  Malkan, Ram Gali, Maharani Market, Krishna market, Duggal Market, Mahalaxrni Market, Bz. Ghanta Ghar, Kt. Ahluwalia, Vaishno Market, Bahra Bz., Moti  Bazar, Goenka Market, old Market and abadies of these areas

2) Areas falling in District Tarn Taran, Amritsar

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above"
119,"In  the  State  of Punjab-
(a) In the District of Bathinda
i) In the Tehsil of Bathinda - within the municipal limits of Bathinda City towards both the left and right sides of Ferozepur­ Bathinda- Ambala railway line coming from Ferozepur and specifically excluding the following areas- the area bounded by Guru Kashi Marg on the east, court Road, Mehna chowk, Arya samaj chowk, Dhobi bazar and post office Bazar on the north and Bathinda Patiala Railway line on the west/south in Bhatinda Town
ii) The entire Tehsil of Phul
iii) The entire Tehsil of Talwandi Sabo
iv) The entire Tehsil of MaurMandi
(b) the entire Revenue District of Mansa

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above"
120,"In  the  State  of Punjab- In the District of Bathinda
i) In the Tehsil of Bathinda - within the municipal limits of Bathinda City towards the left side of Ferozepur­ Bathinda- Ambala railway line coming from Ferozepur and specifically excluding the following areas- the area bounded by Guru Kashi Marg on the east, court Road, Mehna chowk, Arya samaj chowk, Dhobi bazar and post office Bazar on the north and Bhatinda Patiala Railway line on the west/south in Bathinda Town

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above"
121,"1) Areas of Hall Gate and Town Hall srrounding areas of Town Hall Inner Circular Road, Hall Gate to Sultanwind Gate, Ravi Dass Road, Chowk Ram Bagh, Jail Gali, Kt. Baggian, Gali Kaleeran, Kucha Badroan, Kucha Kharassian, Kucha Bhatrian, Chowk Bijliwala, Gali Dabkaran, Bz. Tahli Sahib, Katra Kanhaya, Mahan Singh Gate and its abadie, Katra Jaimal Singh, Karmo Derori. Bz, Santokh Sar, Chowk Phawara to Golden Temple , Bz. Bikanerian and other adjoining localities, Sarai Guru Ram Dass, Braham Butt Market , Chowk Parag Dass, Chowk Baba Bhauri Wala , Tirth Singh Bhatia Road , Bz. Lakhar Mandi upto Jallianwala Bagh, Bz. Petian , Bagh Rama Nand, Bhushanpur, Bz. Ghee Mandi, Area of inner Circular Road from Hall Gate to Loh Garh Gate, Bz . Hall Gate to Telephone Exchange . Bz. Mori Ganj to Katra Sher Singh, Golden Mohalla , Regent Talkies , DAV college Road, Bz. Kucha Dal Khanna, Bazar Mochian and surrounding abadies and Bazar to these arreas, Bazar Lohgarh Gate, Bz Arya Smaj, Khu Bombay wala, Katra Moti Ram, Katra Bhag Singh, Chwok Passian, Bz. Toba Bhai Salo, Guru Ka Mahal, Kucha Tiwarian , Gali Vikram , Katra Parja, Shastri Market, Gokal Market, Partap Bazar and it abadies, Bz. Sabunian, Bz. Malkan, Ram Gali, Maharani Market , Krishna Market, Duggal Market , Mahalaxmi Market , Bz. Ghanta Ghar, Kt.  Ahluwalia, Vaishno Market , Bahra Bz., Moti Bazar, Goenka Market, old Market and abadies of these areas.

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 
- Name starting with alphabet A to O

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 
- Name starting with alphabet A to O

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above
- Name starting with alphabet A to O"
